,corpusid,class
276,239009856,0
277,239016079,0
278,239016730,0
279,239016730,0
280,243756815,0
281,244800755,0
282,244800755,0
283,245144556,0
284,245144556,0
285,245334850,0
286,245334850,0
287,245634501,0
288,245634501,0
289,246652372,0
290,246863799,0
291,247158054,0
292,247158054,0
293,247158312,0
294,247158553,0
295,247158553,0
296,247292088,0
297,247292369,0
298,247450518,0
299,247476296,0
300,248563058,0
301,248571884,0
302,248572452,0
303,248665596,0
304,248665596,0
305,248780378,0
306,248780551,0
307,249018129,0
308,249062555,0
309,249062555,0
310,249848272,0
311,250390665,0
312,250390946,0
313,250390947,0
314,250526133,0
315,250526133,0
316,250562913,0
317,250562913,0
318,252816088,0
319,252917981,0
320,252917981,0
321,252918165,0
322,252918345,0
323,253098174,0
324,253098276,0
325,253098647,0
326,253098647,0
327,253255229,0
328,253255229,0
329,253761592,0
330,253761592,0
331,254853816,0
332,255545881,0
333,255545881,0
334,255546131,0
335,255546131,0
336,256231203,0
337,256231203,0
338,256358906,0
339,256460927,0
340,256827305,0
341,256827818,0
342,256827818,0
343,257353502,0
344,258378227,0
345,258378227,0
346,258546861,0
347,258546861,0
348,258615193,0
349,258686160,0
350,258686160,0
351,258823156,0
352,258865162,0
353,258865288,0
354,258959022,0
355,258959022,0
356,258987734,0
357,260440449,0
358,260440449,0
359,260682258,0
360,260682258,0
361,263310649,0
362,263310649,0
363,263787121,0
364,165163607,3
365,174799117,3
366,199668753,3
367,202542881,3
368,203836061,3
369,203836061,3
370,207852944,3
371,208267807,3
372,208267807,3
373,210859295,3
374,211010545,3
375,211258645,3
376,213474484,3
377,215238846,3
378,216553833,3
379,218486765,3
380,218487288,3
381,218487535,3
382,220483148,3
383,224803601,3
384,224803601,3
385,225311514,3
386,226236740,3
387,226262208,3
388,226262208,3
389,226262339,3
390,227231636,3
391,231632353,3
392,231632353,3
393,232075995,3
394,232075995,3
395,232307160,3
396,233189637,3
397,233296201,3
398,234093776,3
399,234479457,3
400,234741852,3
401,235313508,3
402,235352906,3
403,235435668,3
404,235742855,3
405,235742855,3
406,236459821,3
407,236478213,3
408,236771976,3
409,237048095,3
410,237415234,3
411,237415234,3
412,237513875,3
413,237532313,3
414,237592852,3
415,237592852,3
416,237605111,3
417,237605111,3
418,238744031,3
419,238856994,3
420,239016079,3
421,241583517,3
422,241583517,3
423,244119330,3
424,244346065,3
425,244346065,3
426,245218668,3
427,246015349,3
428,246294995,3
429,246863799,3
430,247187956,3
431,247292088,3
432,247292369,3
433,247447562,3
434,247476426,3
435,247518855,3
436,247518855,3
437,247593883,3
438,247593883,3
439,247594811,3
440,248266450,3
441,248426967,3
442,248426967,3
443,248427125,3
444,248427125,3
445,248476204,3
446,248476204,3
447,248571884,3
448,248572452,3
449,248986718,3
450,249847776,3
451,250390431,3
452,250390665,3
453,250390946,3
454,250390947,3
455,252383151,3
456,252383151,3
457,252407569,3
458,252407569,3
459,252532175,3
460,252532175,3
461,252873630,3
462,252873630,3
463,253098174,3
464,253098851,3
465,253157979,3
466,253244513,3
467,254017497,3
468,254877586,3
469,256358906,3
470,256461282,3
471,256627673,3
472,256827065,3
473,256827305,3
474,257353502,3
475,257642038,3
476,257642038,3
477,258546701,3
478,258714968,3
479,258822815,3
480,258822815,3
481,258823156,3
482,258841328,3
483,258865162,3
484,258865288,3
485,258865636,3
486,258865636,3
487,261681729,3
